#run radE(eV) radE_filtered(eV)
0 3791745.373114729 1609207.4718447018
1 4021633.2433681297 1682143.471308587
2 3358067.0085696257 1203339.2692276104
3 604571.1817817191 346593.8531098019
4 3453061.2494002264 1177942.9213450458
5 3632556.8589951755 1507573.7117714717
6 7942.391248677792 3066.3062261237324
7 3535785.8858523523 1245702.508807101
8 5166113.7018974135 1849504.3718614245
9 3160747.1441753334 1153121.1237444852
10 1130593.3397490268 617498.2871319494
11 7425.28379137558 3000.9655802447933
12 4046256.008948954 1498166.3631925532
13 3896902.957499992 1688294.8972932613
14 1919333.5697196142 707879.5360031737
15 5750.552166935996 1853.5524289160724
16 284567.38072929875 150558.69293740395
17 5556.496742677103 2204.986348698642
18 2848232.5397120663 996763.8662499933
19 2641483.683044727 1094745.4945701165
20 6292548.699810281 2242630.0276799
21 4795952.9488171255 1734918.5510954391
22 308974.01426937565 162569.40882161233
23 2580397.0698647415 1047932.7371347944
24 1588320.756692911 725815.3440637997
25 634984.2394799015 365147.85607569065
26 4146833.7874984825 1684831.8023946309
