#run radE(eV) radE_filtered(eV)
0 4262254.003820255 1669009.8238937908
1 5433870.25923571 2114219.836310263
2 3019212.6798664015 1203259.0891749242
3 3556368.927228462 1366748.9190568526
4 3089608.718504181 1177888.2812276494
5 4052587.577094673 1547168.4677346516
6 2547716.8830969916 908440.1970819638
7 3208486.6822476247 1245596.5147921012
8 4713655.577362943 1849360.5581935311
9 2998094.8930292935 1153041.5306635287
10 4562204.371602437 1732307.308545754
11 2421966.75137152 1035549.900260768
12 3820967.845244033 1498090.7217205344
13 4064648.5655813464 1694331.036755722
14 1649864.553427704 707851.6784658305
15 2208332.323062199 873701.4373395353
16 3367859.445971538 1388189.9460704345
17 1758334.8457898947 745274.8021470526
18 2554849.9329152573 996677.3518107218
19 2834844.087541432 1104398.5948365151
20 5757282.828661894 2242461.250552235
21 4405462.5933905905 1734752.7478053314
22 3561759.079166686 1483341.4727585753
23 2823035.8028855245 1056092.8142863244
24 3391933.518333159 1321423.701913817
25 3725618.63692104 1514558.4988985145
26 4437984.562518278 1702746.8595872056
27 4093743.156857965 1583674.7446826526
28 4750577.092139675 1808440.6712109826
29 4900743.727603484 1909561.0301995452
30 4216084.326176074 1768703.619994386
31 2620747.1609609076 1001751.3022570412
32 2756620.695389163 1076605.9648673849
33 2671196.082501995 1119323.3444848093
34 4586224.501234807 1832454.8785351359
35 4436824.293033833 1742653.4753671987
36 4257816.585243673 1678435.2483943703
37 4522881.195931024 1745476.4580928667
38 5204283.351314451 2008530.1100863009
39 4258670.329767917 1681313.508214552
40 3872859.23292934 1507302.902745127
41 5584802.47929389 2161649.744407101
42 3181967.4164225245 1090998.4397115924
43 3948774.928260385 1557517.1459459446
44 3799942.7752853893 1601256.6318750766
45 3409484.938593925 1266338.8037520023
46 4418636.143602195 1661962.9902477968
47 4483876.757063468 1732289.4947912246
48 3513644.6378572215 1411040.2744977844
49 4448501.145573471 1694892.7649191231
50 3132392.683015021 1122347.761533107
51 4614689.548226784 1729379.4753383233
52 4834619.914301282 1808941.699094523
53 2935531.472822676 1215230.9128791397
54 1252978.5558390708 524915.7775243678
55 5133985.877604394 1945684.192219104
56 3532182.6419645734 1374982.4339185238
57 2235761.330905383 975312.5136193632
58 3019050.4831475876 1133557.364163223
59 6067672.787340879 2275536.7099322644
60 4696237.574708685 1794547.380839716
61 4162026.5980877434 1616897.9323451906
62 3544021.665098253 1372634.8298428317
63 3689620.6676970366 1521023.0463613896
64 3313284.488862961 1319851.8676412834
65 3202307.536568101 1311517.8952231428
66 4564206.7250098605 1740049.6412505729
67 5097309.1299806805 1969378.6606345018
68 3538207.8969195415 1393214.8043545976
69 4458362.8597362805 1686717.5270332259
70 3430511.6550284503 1385717.533815567
71 2518844.018231214 1093099.8252504375
72 4944572.52471557 1884549.0928836332
73 2631320.147890401 1064870.3366888552
74 2794856.105279306 1080143.7307594724
75 2733460.812565991 1091382.8147287087
76 3002326.8753612307 1163115.9662511158
77 4929070.146202306 1834899.2162097201
78 3120648.5259050056 1370535.9402244475
79 4628868.655787964 1904175.6785453013
80 3062585.299991005 1271250.2875264778
81 2932808.101277573 1202445.4303374626
82 4006915.6397645595 1581531.8918457986
83 3187006.684299531 1348590.612481099
84 3239537.6826015087 1356420.412487183
85 5508509.453486615 2143393.1017911523
86 3385514.303075028 1329204.429722032
87 3523524.6284628976 1355784.8443516267
88 3636415.8784585763 1433588.105742923
89 4121085.7896113847 1710386.419044824
90 3526292.7204583026 1452136.2657072688
91 4989038.477464859 2002403.3832081056
92 3287820.2459014365 1307248.253035176
93 5020539.849897469 1960005.396146666
94 3029240.3489847453 1259479.9081669264
95 3012225.6730583147 1270790.3916177903
96 4888160.235614675 1915473.295897494
97 4001675.759878245 1528666.8472176087
98 3333584.763644831 1317349.825823539
99 2185549.530882034 871549.6597079026
100 2812494.0748330588 1038419.0460877211
101 3011258.8276389525 1220476.468394439
102 3139493.761375644 1212050.0274515797
103 3130952.013068104 1296064.6737247119
104 2348913.932070873 959565.5046211636
105 2081044.747038981 790290.5107567752
106 3448568.479314077 1369294.5211384196
107 4786925.65280476 1806727.2821663516
108 4057813.7353019915 1545151.689784978
109 4418058.622965533 1693778.493113341
110 2815740.928281861 1093303.95213972
111 4654084.83358695 1801956.240913025
112 4852946.117245717 1953473.5633100816
113 3924371.525266683 1623783.780821948
114 3664917.4586184584 1411444.9485322016
115 5035229.552426531 1909372.1788740458
116 4251129.200040186 1693885.4706275272
117 3595596.293371443 1499064.571157943
118 3438269.815778864 1291597.7676397858
119 4563012.553431246 1760569.0200948718
120 3990736.510063828 1597507.7851006838
121 3352410.1457236703 1291012.4728946448
122 4138873.0782564464 1619154.633135827
123 3253328.256669872 1370455.226681933
124 3441024.140945739 1331809.483046451
125 5662662.419870901 2215595.0590422354
126 4094878.88742088 1613806.9326518916
127 3338517.958888791 1329662.3760804052
128 3596310.8327483525 1374368.8786791957
129 3966140.456918875 1526904.9050259776
130 2347292.6475943318 974948.5138761338
131 3219213.9735689973 1200336.9405899583
132 4439150.602760633 1748475.5770414853
133 3170342.986701472 1323516.6073926776
134 2682496.852706333 956749.2855267057
135 3405116.88586245 1285691.944891842
136 2242472.1129133883 928165.3355966855
137 3682616.2773213373 1475065.0826895935
138 4621752.517275116 1740674.7087400695
139 3529046.7917673956 1370853.049349014
140 4299360.017820667 1735045.2880413528
141 4948493.632217996 1847127.600717053
142 3265584.0116892694 1292326.144086303
143 6255770.837689861 2411215.0496250843
144 4742365.412043648 1869125.475428599
145 3228098.701903518 1358540.8061950414
146 3535002.6533854175 1397221.1346059176
147 3119586.5178353996 1195961.313483121
148 4488468.580409529 1834413.6254469191
149 4661312.183576654 1838188.062856193
150 3211237.250192542 1228989.976953479
151 1961719.852720212 704606.143371284
152 3566742.735734858 1313219.6997185315
153 5175471.000605068 2081244.5157040502
154 3911264.867418929 1514398.7988479603
155 3716217.3421915667 1519793.385518882
156 4026261.436410535 1638676.5087228601
157 3912072.446351464 1523438.027567976
158 1157970.1252636581 513515.6760610872
159 1567887.1069215308 673339.0463487591
160 1680413.318973498 721884.1457608956
161 3171757.6821545297 1300523.6321435296
162 3977214.761464107 1559548.7836334163
163 4489332.4757530475 1794905.5931333078
164 3320954.7326993104 1290988.1937270176
165 3290828.468311611 1266736.4713886976
166 3912707.1216347707 1550336.8340045016
167 2407391.262796325 958031.6285099699
168 3051850.5757259703 1248338.0631739513
169 2283850.3083827025 923140.5603548998
170 2542420.187203684 1037024.2720086339
171 3369970.520272346 1322337.674797419
172 3350833.986322392 1390610.2720025307
173 3792526.4619806614 1595081.369901225
174 4345862.910647018 1757067.8500659035
175 3796161.7512501776 1455107.6184462141
176 3496251.414928821 1457493.5126347668
177 4755293.964691713 1859553.9176782947
178 4639379.423157719 1834637.657563773
179 2818319.700596769 1084577.6553333057
180 3305983.076843796 1312876.3122181182
181 6053538.264952511 2348394.4504507175
182 3570225.8674869486 1380285.7804935935
183 3846227.9072857713 1496819.5891808607
184 4066201.595017216 1627597.4341307764
185 4240307.117651676 1658199.9089240595
186 2379861.4160843864 1004734.3784504528
187 3199269.9665032667 1239296.8734890043
188 3159014.523874575 1221958.5227802081
189 5501518.701345297 2168595.2602706444
190 4460292.581568171 1720512.5291152752
191 3999865.198628632 1593096.3018686862
192 4504259.055469094 1756160.5969972166
193 4016463.8633831725 1560349.4003032101
194 3332976.550744494 1366712.5930008672
195 2481694.1233520177 1029548.950723067
196 4476119.52202101 1697981.110881179
197 2725885.2769139223 1003831.2345483938
198 5224829.284806481 1964285.617128376
199 4268896.515181475 1671712.5461064272
